billionaire_id,total_article_count
0,314
1,679
2,37
3,220
4,132
5,98
6,72
7,39
8,36
9,83
10,7
11,4
12,1
13,23
14,4
15,0
16,4
17,2
18,0
19,35
20,1
21,20
22,1
23,18
24,2
25,33
26,15
27,1
28,12
29,8
30,1
31,3
32,0
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,7
43,0
44,0
45,7
46,1
47,0
48,0
49,3
50,2
51,0
52,11
53,1
54,2
55,0
56,0
57,0
58,0
59,1
60,0
61,5
62,2
63,1
64,12
65,0
66,2
67,5
68,0
69,5
70,86
71,2
72,0
73,0
74,2
75,1
76,0
77,5
78,10
79,0
81,0
82,4
83,0
84,1
85,0
86,7
87,57
88,0
89,1
90,1
91,0
92,0
93,0
94,5
95,8
96,1
97,0
98,5
99,1
100,0
101,0
