billionaire_id,display_name,net_worth,country,wealth_rank,age,residence,citizenship,children,is_self_made,geometry,first_name,middle_name,last_name,suffix,city_of_residence,state_of_residence,longitude,latitude
0,Jeff Bezos,177.0,United States,1,57.0,"Seattle, Washington",United States,4.0,True,POINT (-122.3300624 47.6038321),Jeff,,Bezos,,Seattle,Washington,-122.3300624,47.6038321
1,Elon Musk,151.0,United States,2,49.0,"Austin, Texas",United States,7.0,True,POINT (-97.74369950000001 30.2711286),Elon,,Musk,,Austin,Texas,-97.74369950000001,30.2711286
2,Bernard Arnault,150.0,France,3,72.0,"Paris, France",France,5.0,False,POINT (2.3514616 48.8566969),Bernard,,Arnault,,Paris,,2.3514616,48.8566969
3,Bill Gates,124.0,United States,4,65.0,"Medina, Washington",United States,3.0,True,POINT (-122.2264453 47.620548),Bill,,Gates,,Medina,Washington,-122.2264453,47.620548
4,Mark Zuckerberg,97.0,United States,5,36.0,"Palo Alto, California",United States,2.0,True,POINT (-122.1598465 37.4443293),Mark,,Zuckerberg,,Palo Alto,California,-122.1598465,37.4443293
5,Warren Buffett,96.0,United States,6,90.0,"Omaha, Nebraska",United States,3.0,True,POINT (-95.9383758 41.2587459),Warren,,Buffett,,Omaha,Nebraska,-95.9383758,41.2587459
6,Larry Ellison,93.0,United States,7,76.0,"Lanai, Hawaii",United States,4.0,True,POINT (-156.9029493 20.8305441),Larry,,Ellison,,Lanai,Hawaii,-156.9029493,20.8305441
7,Larry Page,91.5,United States,8,48.0,"Palo Alto, California",United States,1.0,True,POINT (-122.1598465 37.4443293),Larry,,Page,,Palo Alto,California,-122.1598465,37.4443293
8,Sergey Brin,89.0,United States,9,47.0,"Los Altos, California",United States,3.0,True,POINT (-122.116578 37.3790629),Sergey,,Brin,,Los Altos,California,-122.116578,37.3790629
9,Mukesh Ambani,84.5,India,10,64.0,"Mumbai, India",India,3.0,False,POINT (72.8773928 19.0759899),Mukesh,,Ambani,,Mumbai,,72.8773928,19.0759899
10,Amancio Ortega,77.0,Spain,11,85.0,"La Coruna, Spain",Spain,3.0,True,POINT (-8.3958768 43.3712091),Amancio,,Ortega,,La Coruna,,-8.3958768,43.3712091
11,Francoise Bettencourt Meyers,73.6,France,12,67.0,"Paris, France",France,2.0,False,POINT (2.3514616 48.8566969),Francoise,Bettencourt,Meyers,,Paris,,2.3514616,48.8566969
12,Zhong Shanshan,68.9,China,13,66.0,"Hangzhou, China",China,,True,POINT (120.2052342 30.2489634),Zhong,,Shanshan,,Hangzhou,,120.2052342,30.2489634
13,Steve Ballmer,68.7,United States,14,65.0,"Hunts Point, Washington",United States,3.0,True,POINT (-122.230124 47.6434321),Steve,,Ballmer,,Hunts Point,Washington,-122.230124,47.6434321
14,Ma Huateng,65.8,China,15,49.0,"Shenzhen, China",China,,True,POINT (114.0543297 22.555454),Ma,,Huateng,,Shenzhen,,114.0543297,22.555454
15,Carlos Slim Helu,62.8,Mexico,16,81.0,"Mexico City, Mexico",Mexico,6.0,True,POINT (-99.1331785 19.4326296),Carlos,Slim,Helu,,Mexico City,,-99.1331785,19.4326296
16,Alice Walton,61.8,United States,17,71.0,"Fort Worth, Texas",United States,,False,POINT (-97.33274590000001 32.753177),Alice,,Walton,,Fort Worth,Texas,-97.33274590000001,32.753177
17,Jim Walton,60.2,United States,18,72.0,"Bentonville, Arkansas",United States,4.0,False,POINT (-94.2088172 36.3728538),Jim,,Walton,,Bentonville,Arkansas,-94.2088172,36.3728538
