id,billionaire_id,wealth_source
0,0,Amazon
1,1,Tesla
2,1,Spacex
3,2,Lvmh
4,3,Microsoft
5,4,Facebook
6,5,Berkshire Hathaway
7,6,Software
8,7,Google
9,8,Google
10,9,Diversified
11,10,Zara
12,11,L'Oréal
13,12,Beverages
14,12,Pharmaceuticals
15,13,Microsoft
16,14,Internet Media
17,15,Telecom
18,16,Walmart
19,17,Walmart
20,18,Walmart
21,19,Bloomberg Lp
22,20,E-Commerce
23,21,Amazon
24,22,Quicken Loans
25,23,Infrastructure
26,23,Commodities
27,24,Nike
28,25,E-Commerce
29,26,Koch Industries
30,27,Koch Industries
31,28,Internet
32,28,Telecom
33,29,Dell Computers
34,30,Fashion Retail
35,31,Luxury Goods
36,32,Media
37,34,Package Delivery
38,35,Casinos
39,36,Home Appliances
40,37,Retail
41,38,Tiktok
42,39,Nutella
43,39,Chocolates
44,40,Chanel
45,41,Chanel
46,42,Diversified
47,43,Pig Breeding
48,44,Online Games
49,45,Music
50,45,Chemicals
51,46,Real Estate
52,47,Candy
53,47,Pet Food
54,48,Candy
55,48,Pet Food
56,49,Real Estate
57,50,Steel
58,50,Investments
59,51,Batteries
60,52,Real Estate
61,53,Bmw
62,53,Pharmaceuticals
63,54,Metals
64,55,Red Bull
65,56,Soy Sauce
66,57,Shipping
67,58,Steel
68,58,Transport
69,59,E-Commerce
70,60,Mining
71,61,Eyeglasses
72,62,Sensors
73,63,Estee Lauder
74,64,Discount Brokerage
75,65,Oil
76,66,Gas
77,66,Chemicals
78,67,Hedge Funds
79,68,Vaccines
80,69,Mining
81,70,Newspapers
82,70,Tv Network
83,71,Software Services
84,72,Internet Media
85,73,Mining
86,74,Smartphones
87,75,Restaurants
88,76,E-Commerce
89,77,Oil
90,77,Gas
91,78,Investments
92,79,Paints
93,81,Medical Devices
94,82,Ebay
95,82,Paypal
96,83,H&M
97,84,Money Management
98,85,Banking
99,85,Tobacco
100,86,Mining
101,87,Hedge Funds
102,88,Banking
103,88,Tobacco
104,89,Automobiles
105,90,Pharmaceuticals
106,91,Medical Devices
107,92,Casinos/Hotels
108,93,Cheese
109,94,Apple
110,94,Disney
111,95,Google
112,96,Pharmaceuticals
113,97,Aldi
114,97,Trader Joe'S
115,98,Steel
116,98,Telecom
117,98,Investments
118,99,Wireless Networking Gear
119,100,Real Estate
120,101,Petrochemicals
